author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;house_number;underground;residential_complex
Ташир;developer;https://www.cian.ru/sale/flat/272566534/;Москва;sale;flat;3;21;3;90.2;294000;26518800;Очаково-Матвеевское;Аминьевское шоссе;6;Давыдково;West Tower (Апартаменты бизнес-класса)
Винидиктов и Партнеры;real_estate_agent;https://www.cian.ru/sale/flat/293295305/;Москва;sale;flat;20;21;4;405.0;713580;289000000;Хорошевский;Чапаевский переулок;3;Аэропорт;Триумф-Палас
ANT Development;developer;https://www.cian.ru/sale/flat/274568662/;Москва;sale;flat;10;13;2;66.95;1049289;70249900;Дорогомилово;;3к5;Парк Победы;Виктори Парк Резиденсез ЖК
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/294999120/;Москва;sale;flat;37;58;3;129.0;348062;44900000;Ростокино;проспект Мира;188Бк1;Ростокино;Триколор
EraOneHolding;developer;https://www.cian.ru/sale/flat/274788002/;Москва;sale;flat;3;5;2;201.7;894736;180468421;Арбат; Арбат;39;Смоленская;Artisan
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/294697016/;Москва;sale;flat;8;25;3;103.7;427193;44300000;Тропарево-Никулино; Покрышкина;3;Юго-Западная;
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/293713943/;Москва;sale;flat;4;6;1;76.6;3041122;232950000;Хамовники;3-й Обыденский переулок;1С1;;Клубный дом Обыденский № 1
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/289898898/;Москва;sale;flat;6;17;4;212.0;541933;114890000;Раменки;Мичуринский проспект;6к2;Ломоносовский проспект;
Группа Родина;developer;https://www.cian.ru/sale/flat/293200742/;Москва;sale;flat;7;13;3;50.8;312937;15897200;;;к3А;Ольховая;Рашен Дизайн Дистрикт ЖК
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/289898893/;Москва;sale;flat;6;14;4;170.0;498823;84800000;Пресненский; Климашкина;19;Улица 1905 года;Климашкина 19
Level Group;developer;https://www.cian.ru/sale/flat/294383842/;Москва;sale;flat;2;37;3;62.9;273687;17214935;Нижегородский;Перовское шоссе;21С11;Нижегородская;Level Нижегородская
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/294991304/;Москва;sale;flat;6;23;3;104.0;508653;52900000;Хорошево-Мневники;Жилой комплекс остров;к2;Терехово ;Остров
VOSHOD;developer;https://www.cian.ru/sale/flat/285674284/;Москва;sale;flat;-1;-1;-1;202.0;119722;24183900;Филевский парк; Василисы Кожиной;вл25/1;Филёвский парк;AHEAD
Винидиктов и Партнеры;real_estate_agent;https://www.cian.ru/sale/flat/294622608/;Москва;sale;flat;5;6;3;160.0;1312500;210000000;Замоскворечье;Садовническая набережная;7;Новокузнецкая;BALCHUG VIEWPOINT
Мангазея;developer;https://www.cian.ru/sale/flat/293671446/;Москва;sale;flat;-1;-1;-1;202.0;121425;24528000;Щукино;Щукинская ;3;Стрешнево;Интонация
RND;real_estate_agent;https://www.cian.ru/sale/flat/293993710/;Москва;sale;flat;18;18;4;95.6;605648;57900000;Беговой;Ленинградский проспект;29к1;Динамо;Царская площадь
ФСК;developer;https://www.cian.ru/sale/flat/293136721/;Москва;sale;flat;6;43;3;87.2;281392;24537426;Покровское-Стрешнево;;;Трикотажная;Скай Гарден ЖК
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/294998931/;Москва;sale;flat;4;21;4;124.6;425361;53000000;Раменки; Янковского;1к3;Мичуринский проспект;Событие
MR Group;developer;https://www.cian.ru/sale/flat/294977273/;Москва;sale;flat;32;41;1;38.1;655572;24977324;Даниловский;Дубининская ;59к7;Серпуховская;Павелецкая сити
