author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;house_number;underground;residential_complex
Центр-Инвест;representative_developer;https://www.cian.ru/sale/flat/294660108/;Москва;sale;flat;24;28;2;59.6;556184;33148608;Раменки;Винницкая ;8к4;Раменки;Настоящее
Capital Group;developer;https://www.cian.ru/sale/flat/252547877/;Москва;sale;flat;51;58;2;110.0;350049;38505498;Ростокино;проспект Мира;188Бк1;Ростокино;Триколор
GRAVION;developer;https://www.cian.ru/sale/flat/288750956/;Москва;sale;flat;6;9;-1;32.79;1200000;39348000;Якиманка;Ленинский проспект;2;Октябрьская;Клубный дом CULT
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/288107653/;Москва;sale;flat;23;41;3;77.0;514285;39600000;Раменки;1-й Сетуньский проезд;6С6;Воробьёвы горы;Hide
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/292989536/;Москва;sale;flat;11;12;1;61.3;652528;40000000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/293364872/;Москва;sale;flat;6;21;3;91.5;491803;45000000;Филевский парк;Береговой проезд;5к3;Фили;Фили Град
City View;real_estate_agent;https://www.cian.ru/sale/flat/293670035/;Москва;sale;flat;32;78;3;90.0;666666;60000000;Пресненский;1-й Красногвардейский проезд;22с2;Тестовская;NEVA TOWERS
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/266889143/;Москва;sale;flat;10;21;2;55.0;1089090;59900000;Пресненский;2-я Звенигородская ;12к8;Улица 1905 года;Lucky
ID 413522;realtor;https://www.cian.ru/sale/flat/294072936/;Москва;sale;flat;3;21;2;63.84;1018170;65000000;Пресненский;2-я Звенигородская ;16;Беговая;Lucky
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/294785064/;Москва;sale;flat;26;36;3;120.0;916666;110000000;Раменки;Минская ;2;Минская;Долина Сетунь
Gethome;real_estate_agent;https://www.cian.ru/sale/flat/291014060/;Москва;sale;flat;4;20;3;148.7;934767;139000000;Пресненский;2-я Черногрязская ;6к2;Улица 1905 года;RedSide
Cristall Realty;real_estate_agent;https://www.cian.ru/sale/flat/295066104/;Москва;sale;flat;3;5;5;145.0;965517;140000000;Замоскворечье;Садовническая ;29;Новокузнецкая;BALCHUG RESIDENCE
ESTATEBERRY;real_estate_agent;https://www.cian.ru/sale/flat/291642079/;Москва;sale;flat;12;21;4;153.3;978473;150000000;Пресненский;2-я Звенигородская ;16;;Lucky
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/270389686/;Москва;sale;flat;5;9;4;140.0;1092857;153000000;Хамовники;Саввинская набережная;13;Киевская;SAVVIN RIVER RESIDENCE
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/293717851/;Москва;sale;flat;5;7;5;189.0;873015;165000000;Хамовники;Смоленский бульвар;24к3;Смоленская;Клубный дом на Смоленском бульваре
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/292476135/;Москва;sale;flat;5;5;4;195.2;952868;186000000;Пресненский;Большой Тишинский переулок;30/44с1;Баррикадная;Fantastic House
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/294619971/;Москва;sale;flat;24;35;4;212.3;879829;186787860;Щукино;Авиационная ;79Б;Щукинская;Алые Паруса
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/290012403/;Москва;sale;flat;6;8;3;142.8;1610644;230000000;Якиманка;Софийская набережная;34;Новокузнецкая;Софийский
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/273758163/;Москва;sale;flat;3;5;5;250.0;1000000;250000000;Хамовники; Пречистенка;27;Парк Культуры;
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/280659782/;Москва;sale;flat;3;3;-1;343.7;1076520;370000000;Тверской;Долгоруковская ;23А;Новослободская;Cameo Moscow Villas
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/290411907/;Москва;sale;flat;2;4;3;219.2;2493186;546506528;Хамовники;Пречистенская набережная;5;Парк Культуры;Кленовый DOM
Олег Завершинский;realtor;https://www.cian.ru/sale/flat/294339792/;Москва;sale;flat;1;12;1;18.0;305000;5490000;Люблино;Белореченская ;5;Люблино;
Locus Realty;real_estate_agent;https://www.cian.ru/sale/flat/294418229/;Москва;sale;flat;2;5;1;16.7;365000;6095500;Кузьминки;Окская ;28К3;Кузьминки;My Space на Окской
Locus Realty;real_estate_agent;https://www.cian.ru/sale/flat/292897611/;Москва;sale;flat;5;5;1;16.3;375000;6112500;Кузьминки;Окская ;28К3;Окская;My Space на Окской
ID 33199158;unknown;https://www.cian.ru/sale/flat/292196992/;Москва;sale;flat;1;4;1;41.3;157384;6500000;; Жемчужная;1к4;Филатов Луг;Марьино Град
А101;developer;https://www.cian.ru/sale/flat/292131309/;Москва;sale;flat;2;15;2;41.0;212360;8706767;;;;Коммунарка;Деснаречье ЖК
А101;developer;https://www.cian.ru/sale/flat/295067193/;Москва;sale;flat;2;9;2;47.6;183300;8725080;;;;Толстопальцево;Родные кварталы
Ташир;developer;https://www.cian.ru/sale/flat/295034552/;Москва;sale;flat;1;14;1;39.9;262500;10473750;Можайский;Сколковское шоссе;40к3;Давыдково;Stellar City
Level Group;developer;https://www.cian.ru/sale/flat/294383841/;Москва;sale;flat;2;37;1;35.0;317114;11099002;Нижегородский;Перовское шоссе;21С11;Нижегородская;Level Нижегородская
А101;developer;https://www.cian.ru/sale/flat/290946621/;Москва;sale;flat;8;18;2;40.3;287883;11601724;;;37.2.1;Бунинская аллея;Скандинавия ЖК
А101;developer;https://www.cian.ru/sale/flat/289991220/;Москва;sale;flat;6;14;2;51.6;233056;12025693;;;3;Коммунарка;Дзен-кварталы ЖК
Ташир;developer;https://www.cian.ru/sale/flat/295044396/;Москва;sale;flat;1;19;2;51.7;234750;12136575;Можайский;;;Сетунь;Стеллар Сити ЖК
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/293956243/;Москва;sale;flat;16;17;1;39.7;313139;12431641;;;к2;Боровское шоссе;Переделкино Ближнее Город-парк
Level Group;developer;https://www.cian.ru/sale/flat/294384280/;Москва;sale;flat;17;24;1;38.6;326508;12603246;Покровское-Стрешнево;проезд Проектируемый № 3959;;Тушинская;Апартаментный комплекс Level Стрешнево
MR Group;developer;https://www.cian.ru/sale/flat/295182502/;Москва;sale;flat;13;39;1;30.74;418028;12850211;Западное Дегунино;Северный ао;;Селигерская;Селигер Сити ЖК
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/293556454/;Москва;sale;flat;1;2;1;42.6;304000;12950400;Преображенское;Суворовская ;19С3;Преображенская площадь;
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/294564838/;Москва;sale;flat;2;3;1;43.8;300000;13140000;Преображенское;Суворовская ;19С2;Преображенская площадь;
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/293669664/;Москва;sale;flat;2;17;2;55.9;236941;13245052;;;к1;Боровское шоссе;Переделкино Ближнее Город-парк
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/294625741/;Москва;sale;flat;14;16;2;51.0;260784;13300000;Нижегородский;Смирновская ;4Б;Новохохловская;
Level Group;developer;https://www.cian.ru/sale/flat/294399718/;Москва;sale;flat;2;48;1;32.5;412898;13419191;Очаково-Матвеевское;;к7;Очаково;Левел Мичуринский ЖК
Триумфальная Арка;real_estate_agent;https://www.cian.ru/sale/flat/290507861/;Москва;sale;flat;6;27;2;36.0;375000;13500000;Нижегородский;Перовское шоссе;2к3;Нижегородская;Перовское 2
ID 95819433;unknown;https://www.cian.ru/sale/flat/280338597/;Москва;sale;flat;29;34;2;42.5;317647;13500000;Южное Бутово; Поляны;5Ак3;Улица Скобелевская;Столичные поляны
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/292996548/;Москва;sale;flat;10;20;2;54.4;251838;13700000;Бирюлево Восточное;6-я Радиальная ;7/6к3;Царицыно;Царицыно-2
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/292466223/;Москва;sale;flat;4;16;2;50.0;276000;13800000;;;6к6;Ольховая;Прокшино ЖК
ID 39404589;developer;https://www.cian.ru/sale/flat/295016632/;Москва;sale;flat;31;34;1;30.0;477200;14316000;Обручевский;;;Калужская;Эвер ЖК
COLDY;developer;https://www.cian.ru/sale/flat/279637271/;Москва;sale;flat;8;21;2;47.74;299537;14299930;Нижегородский;Автомобильный проезд;4;Калитники;N’ice Loft
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/294262789/;Москва;sale;flat;13;20;1;36.3;399500;14501850;Головинский;Михалковская ;48С8;Коптево;Михалковский
Основа;developer;https://www.cian.ru/sale/flat/289975789/;Москва;sale;flat;3;20;2;57.57;256000;14737920;Северный;Новодачная ;67/68;Новодачная;ФизтехСити
Евгений Цопин;realtor;https://www.cian.ru/sale/flat/292901980/;Москва;sale;flat;14;17;2;63.0;236507;14900000;; 40 лет Октября;15/1;Щербинка;Калипсо
А101;developer;https://www.cian.ru/sale/flat/294844050/;Москва;sale;flat;16;16;2;54.5;291364;15879369;;проспект Магеллана;5;Прокшино;Испанские кварталы
Forma;developer;https://www.cian.ru/sale/flat/294171192/;Москва;sale;flat;-1;-1;-1;202.0;82015;16567154;Щукино;Волоколамское шоссе;28;Стрешнево;Moments
Level Group;developer;https://www.cian.ru/sale/flat/293822411/;Москва;sale;flat;24;26;1;33.6;504390;16947513;Нагатино-Садовники;1-й Нагатина кв-л;;Нагатинская;Левел Нагатинская ЖК
Доходный дом;developer;https://www.cian.ru/sale/flat/292589702/;Москва;sale;flat;14;24;1;40.1;427194;17130504;Очаково-Матвеевское;м. Мичуринский проспект;;Мичуринский проспект;ОМ ЖК
ФСК;developer;https://www.cian.ru/sale/flat/282208466/;Москва;sale;flat;30;43;1;45.5;377970;17197635;Покровское-Стрешнево;;;Трикотажная;Скай Гарден ЖК
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/293141637/;Москва;sale;flat;24;25;1;38.2;449999;17190000;Щукино; Берзарина;32к2.2;Карамышевская;Октябрьское поле
Пионер;developer;https://www.cian.ru/sale/flat/294179164/;Москва;sale;flat;7;10;1;43.1;402482;17347004;Москворечье-Сабурово;;;Каширская;Лайф Варшавская ЖК
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/294217839/;Москва;sale;flat;8;26;2;53.7;327500;17586750;Соколиная гора;1-й Кирпичный переулок;17А;Соколиная гора;Семеновский парк 2
Группа Эталон;developer;https://www.cian.ru/sale/flat/295124247/;Москва;sale;flat;13;35;1;39.9;443918;17712337;Даниловский;;к1;Технопарк;Нагатино Ай-Ленд ЖК
MR Group;developer;https://www.cian.ru/sale/flat/293285460/;Москва;sale;flat;10;30;1;43.1;416659;17958037;Южнопортовый;Волгоградский проспект;32/3к4;Волгоградский проспект;Метрополия
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/293712468/;Москва;sale;flat;15;26;1;31.04;588917;18280000;Марфино; Академика Королева;21;Бутырская;Дом Достижение
Антон Белов;realtor;https://www.cian.ru/sale/flat/293398915/;Москва;sale;flat;6;14;1;38.0;486842;18500000;Таганский;переулок Ковров;1;Москва-Товарная;
А101;developer;https://www.cian.ru/sale/flat/273052446/;Москва;sale;flat;2;16;2;73.2;257659;18860711;;;6к6;Филатов Луг;Прокшино ЖК
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/292406232/;Москва;sale;flat;19;22;2;59.0;323728;19100000;Обручевский; Обручева;28К8;Калужская;
А101;developer;https://www.cian.ru/sale/flat/273873467/;Москва;sale;flat;17;30;3;75.5;253684;19153155;Южное Бутово;к2.2;к2.2;Бунинская аллея;Южные Сады ЖК
Level Group;developer;https://www.cian.ru/sale/flat/293822474/;Москва;sale;flat;26;26;2;46.4;414901;19251418;Нагатино-Садовники;1-й Нагатина кв-л;;Нагатинская;Левел Нагатинская ЖК
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/290430036/;Москва;sale;flat;2;20;2;57.4;337000;19343800;Головинский;Михалковская ;48С8;Коптево;Михалковский
На Петровке Продажа-Аренда;real_estate_agent;https://www.cian.ru/sale/flat/295039060/;Москва;sale;flat;5;13;2;59.3;328836;19500000;Фили-Давыдково;Кастанаевская ;63К2;Кунцевская;
Orange Life;real_estate_agent;https://www.cian.ru/sale/flat/287399963/;Москва;sale;flat;3;7;-1;24.9;779629;19412763;Замоскворечье;Садовническая ;15С2;Новокузнецкая;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/280126725/;Москва;sale;flat;2;25;2;45.6;433500;19767600;Савеловский;Старый Петровско-Разумовский проезд;1/23С5;Гражданская;Петровский парк II
Level Group;developer;https://www.cian.ru/sale/flat/293391454/;Москва;sale;flat;5;9;1;38.5;518606;19966359;Басманный;Большая Почтовая ;;Электрозаводская;Level Бауманская
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/293141608/;Москва;sale;flat;26;27;2;48.3;411500;19875450;Щукино; Берзарина;;Октябрьское поле;Октябрьское поле
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/293715075/;Москва;sale;flat;25;29;1;46.1;431453;19890000;Очаково-Матвеевское;Аминьевское шоссе;4Дк2;Аминьевская;Вестердам
Э.К. Девелопмент;developer;https://www.cian.ru/sale/flat/294995176/;Москва;sale;flat;3;25;1;39.1;508000;19862800;Хорошевский; Маргелова;3к5;Беговая;Авиатика
ФСК;developer;https://www.cian.ru/sale/flat/280811266/;Москва;sale;flat;3;29;1;40.4;499050;20161620;Нагатино-Садовники;Варшавское шоссе;37Ак2;Нагатинская;Rotterdam
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/289779311/;Москва;sale;flat;3;25;2;43.2;462962;20000000;Филевский парк;Береговой проезд;5к2;Фили;Фили Град
Level Group;developer;https://www.cian.ru/sale/flat/293821496/;Москва;sale;flat;40;42;2;43.9;489310;21480726;Очаково-Матвеевское;;к2;Мичуринский проспект;Левел Мичуринский ЖК
А101;developer;https://www.cian.ru/sale/flat/288822168/;Москва;sale;flat;2;16;2;42.8;510596;21853537;Сокол; Зорге;;Зорге;Дом на Зорге
КРОСТ;developer;https://www.cian.ru/sale/flat/286095539/;Москва;sale;flat;20;21;2;73.7;310400;22876480;Хорошево-Мневники; Народного Ополчения;13;Народное Ополчение;Wellton Gold
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/293647598/;Москва;sale;flat;8;8;2;56.9;402460;22900000;Красносельский; Гаврикова;2/38;Красносельская;
MR Group;developer;https://www.cian.ru/sale/flat/294274524/;Москва;sale;flat;8;30;2;61.5;379575;23343910;Южнопортовый;Волгоградский проспект;32/3к4;Волгоградский проспект;Метрополия
Intermark Real Estate - ранее Savills - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/292409939/;Москва;sale;flat;7;27;1;67.9;353460;24000000;Лефортово; Золоторожский Вал;11С50;Площадь Ильича;Символ
ЛюксДом;real_estate_agent;https://www.cian.ru/sale/flat/294737515/;Москва;sale;flat;35;37;2;59.7;418760;25000000;Раменки;Мосфильмовская ;98к2;Аминьевская;Огни
Ривер Парк Коломенское;developer;https://www.cian.ru/sale/flat/258097967/;Москва;sale;flat;2;19;2;62.3;410485;25573277;Нагатинский затон;;;Коломенская;Ривер Парк ЖК
Главстрой;developer;https://www.cian.ru/sale/flat/287783702/;Москва;sale;flat;12;20;1;51.3;499706;25634969;Филевский парк;Береговой проезд;2;Фили;Береговой-2
St Michael;developer;https://www.cian.ru/sale/flat/282823512/;Москва;sale;flat;17;21;2;56.29;451436;25411380;Хорошевский; Зорге;9;Зорге;Зорге 9
РКС Девелопмент;developer;https://www.cian.ru/sale/flat/294819836/;Москва;sale;flat;9;16;2;60.46;440318;26621660;Даниловский;Автозаводская ;24К1;Тульская;INSIDER
Ташир;developer;https://www.cian.ru/sale/flat/264100717/;Москва;sale;flat;32;32;1;43.6;639000;27860400;Черемушки;Херсонская ;43к5;Калужская;ONYX Deluxe
Основа;developer;https://www.cian.ru/sale/flat/286250324/;Москва;sale;flat;-1;-1;-1;202.0;140221;28324800;Красносельский;проспект Академика Сахарова;11;Красные ворота;RED7
БСА;representative_developer;https://www.cian.ru/sale/flat/293376014/;Москва;sale;flat;11;41;2;65.45;433458;28369850;Пресненский;Шелепихинское шоссе;;Шелепиха;Headliner
Level Group;developer;https://www.cian.ru/sale/flat/292035892/;Москва;sale;flat;11;19;2;46.7;612932;28623925;Академический;Профсоюзная ;2/22;Академическая;Level Академическая
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/293715104/;Москва;sale;flat;23;29;2;76.8;373046;28650000;Очаково-Матвеевское;Аминьевское шоссе;4Дк2;Аминьевская;Вестердам
Главстрой;developer;https://www.cian.ru/sale/flat/291727477/;Москва;sale;flat;9;22;2;67.8;451706;30625734;Филевский парк;Береговой проезд;2;Фили;Береговой-2
Prime Life Development;developer;https://www.cian.ru/sale/flat/294564661/;Москва;sale;flat;5;28;2;80.1;388354;31107160;Нагатино-Садовники;Нагатинская ;к2вл1;Нагатинская;1-й Нагатинский
Место;real_estate_agent;https://www.cian.ru/sale/flat/293651505/;Москва;sale;flat;11;22;3;77.2;433937;33500000;Пресненский; Сергея Макеева;1;Деловой центр;
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/292450790/;Москва;sale;flat;10;19;2;55.0;669090;36800000;Хорошево-Мневники;Шелепихинская набережная;34к1зд4;Шелепиха;Сердце Столицы
Cristall Realty;real_estate_agent;https://www.cian.ru/sale/flat/292401341/;Москва;sale;flat;32;39;4;94.4;407838;38500000;Раменки; Лобачевского;120к1;Аминьевская;Крылья
Optima Development;developer;https://www.cian.ru/sale/flat/293991054/;Москва;sale;flat;34;41;2;56.0;790071;44244000;Хорошевский;Ленинградский проспект;37/2;Петровский Парк;Прайм Парк
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/295060027/;Москва;sale;flat;7;18;4;121.9;365053;44500000;Ломоносовский; Архитектора Власова;6;Профсоюзная;Вавилово
Intermark Real Estate - ранее Savills - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/292475040/;Москва;sale;flat;5;7;3;67.0;716417;48000000;Якиманка;Житная ;10;Добрынинская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/291324768/;Москва;sale;flat;33;41;2;72.8;763736;55600000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/292012320/;Москва;sale;flat;8;48;3;102.0;558823;57000000;Раменки;Мосфильмовская ;70к2;Ломоносовский проспект;Воробьевы Горы
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/284970687/;Москва;sale;flat;36;79;2;83.0;751807;62400000;Пресненский;1-й Красногвардейский проезд;22;Деловой центр;NEVA TOWERS
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/280614853/;Москва;sale;flat;3;15;2;58.54;1110351;65000000;Пресненский;2-я Звенигородская ;12С29;Улица 1905 года;Lucky
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/286714974/;Москва;sale;flat;4;10;2;106.2;659133;70000000;Хамовники; Пречистенка;40/2С4;Парк Культуры;
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/284658959/;Москва;sale;flat;6;12;3;121.0;595041;72000000;Мещанский;Протопоповский переулок;17С2;Проспект Мира;
Intermark Real Estate - ранее Savills - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/291044485/;Москва;sale;flat;2;7;3;105.5;698957;73740000;Замоскворечье;Садовническая ;80;Павелецкая;
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/289746164/;Москва;sale;flat;2;28;4;226.5;353200;80000000;Кунцево;Рублевское шоссе;101;Молодёжная;Vander Park
САДОВЫЕ КВАРТАЛЫ. Офис продаж;real_estate_agent;https://www.cian.ru/sale/flat/293030368/;Москва;sale;flat;5;14;2;80.8;1033415;83500000;Хамовники; Усачева;11Г;Спортивная;Садовые кварталы
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/279836476/;Москва;sale;flat;21;44;4;133.0;639097;85000000;Раменки;Минская ;2;Минская;Долина Сетунь
Verges of estate;real_estate_agent;https://www.cian.ru/sale/flat/283847867/;Москва;sale;flat;10;31;4;173.0;502890;87000000;Очаково-Матвеевское;Нежинская ;1к1;Славянский бульвар;Кутузовская Ривьера
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/263562990/;Москва;sale;flat;14;21;4;205.0;429268;88000000;Раменки;Минская ;1ГК2;Ломоносовский проспект;Золотые Ключи 2
Cristall Realty;real_estate_agent;https://www.cian.ru/sale/flat/292849599/;Москва;sale;flat;18;21;3;100.0;1390000;139000000;Пресненский;2-я Черногрязская ;6к4;Выставочная;RedSide
Prime;real_estate_agent;https://www.cian.ru/sale/flat/292136591/;Москва;sale;flat;9;57;5;215.0;674418;145000000;Хорошевский;Чапаевский переулок;3;Аэропорт;Триумф-Палас
COLDY;developer;https://www.cian.ru/sale/flat/291578701/;Москва;sale;flat;2;14;1;101.91;1571900;160192329;Хамовники;переулок 1-й Тружеников;12;Киевская;Хамовники 12
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/294166441/;Москва;sale;flat;2;6;3;115.0;1391217;159990000;Хамовники;переулок Хилков;5;Парк Культуры;Особняк в Хилковом переулке
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/266271380/;Москва;sale;flat;4;6;3;160.0;1093750;175000000;Хамовники;1-й Зачатьевский переулок;6С1;Кропоткинская;
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/280406607/;Москва;sale;flat;4;25;4;193.7;920224;178247400;Хорошевский;Чапаевский переулок;3;Аэропорт;Триумф-Палас
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/294029718/;Москва;sale;flat;47;54;3;163.0;1195092;194800000;Раменки;Мосфильмовская ;8;Минская;Дом на Мосфильмовской
Intermark Real Estate - ранее Savills - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/290189170/;Москва;sale;flat;2;6;5;220.0;967691;212892239;Хамовники;переулок Малый Знаменский;7/10с2;Кропоткинская;
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/290703587/;Москва;sale;flat;5;8;4;233.0;1030042;240000000;Хамовники;1-й Зачатьевский переулок;5;Парк Культуры;Новая Остоженка
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/281706135/;Москва;sale;flat;5;9;4;172.0;1395348;240000000;Хамовники;Саввинская набережная;13;Киевская;SAVVIN RIVER RESIDENCE
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/288745151/;Москва;sale;flat;3;6;5;245.0;1020408;250000000;Хамовники; Пречистенка;27;Парк Культуры;
COLDY;developer;https://www.cian.ru/sale/flat/291578728/;Москва;sale;flat;4;14;2;155.65;1730064;269284490;Хамовники;переулок 1-й Тружеников;12;Киевская;Хамовники 12
Vesco Realty;real_estate_agent;https://www.cian.ru/sale/flat/280634363/;Москва;sale;flat;15;15;4;237.0;1265822;300000000;Пресненский;2-я Звенигородская ;12С19;Улица 1905 года;Lucky
BELFORT;real_estate_agent;https://www.cian.ru/sale/flat/294166550/;Москва;sale;flat;4;12;5;235.5;1300000;306150000;Хамовники; Усачева;13;Спортивная;
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/292815120/;Москва;sale;flat;6;10;-1;300.0;1066666;320000000;Тверской; Фадеева;4А;Маяковская;Итальянский Квартал
Intermark Real Estate - ранее Savills - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/294159490/;Москва;sale;flat;1;3;5;357.0;1000000;357000000;Тверской;Долгоруковская ;23А;Новослободская;Cameo Moscow Villas
SkyLine Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/290875312/;Москва;sale;flat;4;7;4;233.0;1630901;380000000;Хамовники;Молочный переулок;2;Кропоткинская;Новая Остоженка
Premium Moscow;real_estate_agent;https://www.cian.ru/sale/flat/292971267/;Москва;sale;flat;14;15;-1;246.81;1559904;385000000;Хамовники; Усачева;15кБ;Спортивная;Садовые кварталы
Intermark Real Estate - ранее Savills - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/292979032/;Москва;sale;flat;2;4;3;219.2;2493186;546506528;Видовая кв-ра в е Золотой мили3-комн. кв.;2/4 этаж;2/4 этаж;;
Ramenky Realty;real_estate_agent;https://www.cian.ru/sale/flat/292973105/;Москва;sale;flat;14;15;-1;390.59;1423479;555997000;Хамовники; Усачева;15кБ;Спортивная;Садовые кварталы
Intermark Real Estate - ранее Savills - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/294509343/;Москва;sale;flat;1;8;-1;530.0;2228092;1180889025;Хамовники; Ефремова;19к1;Спортивная;Knightsbridge Private Park
НДВ;real_estate_agent;https://www.cian.ru/sale/flat/292669055/;Москва;sale;flat;2;3;-1;16.1;278881;4490000;Нижегородский;шоссе Фрезер;17АС1;Нижегородская;
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/293662198/;Москва;sale;flat;2;4;-1;15.7;375814;5900291;Преображенское;Суворовская ;19С1;Преображенская площадь;
Locus Realty;real_estate_agent;https://www.cian.ru/sale/flat/292898112/;Москва;sale;flat;3;5;1;16.3;365000;5949500;Кузьминки;Окская ;28К3;Окская;My Space на Окской
Locus Realty;real_estate_agent;https://www.cian.ru/sale/flat/292897911/;Москва;sale;flat;4;5;1;18.6;360000;6696000;Кузьминки;Окская ;28К3;Окская;My Space на Окской
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/294619255/;Москва;sale;flat;12;15;1;24.5;285714;7000000;;;к5;Кокошкино;Новое Внуково ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/292708139/;Москва;sale;flat;15;23;1;22.5;355511;7999000;Солнцево; Авиаторов;1;Солнцево;Лучи
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/293019087/;Москва;sale;flat;11;16;1;33.0;245454;8100000;; Гренадерская;9к2;Коммунарка;Новые Ватутинки. Десна
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/294576341/;Москва;sale;flat;6;9;1;37.0;229729;8500000;;проспект Новосередневский;17к2;Филатов Луг;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/293140699/;Москва;sale;flat;16;17;1;36.0;236111;8500000;Южное Бутово;Варшавское шоссе;282к1;Щербинка;Никольские луга
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/293566775/;Москва;sale;flat;2;4;-1;28.6;299220;8557695;Преображенское;Суворовская ;19С2;Преображенская площадь;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/291943644/;Москва;sale;flat;2;24;1;26.11;333205;8700000;Западное Дегунино;Ильменский проезд;4С19;Селигерская;Дмитровское небо
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/294443932/;Москва;sale;flat;1;4;-1;29.8;304000;9059200;Преображенское;Суворовская ;19С5;Преображенская площадь;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/294874885/;Москва;sale;flat;15;17;1;31.3;290734;9100000;; Лобановский Лес;;Прокшино;Прокшино
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/294397373/;Москва;sale;flat;8;14;1;36.9;246612;9100000;;бульвар Скандинавский;23к1;Бунинская аллея;Скандинавия
